batch,compound,water,octanol,
batch_1,1003-09-4,1.35,15.22,3.31493
batch_1,10057-27-9,14.4,18.83,1.05877
batch_1,1007-28-9,28.46,27.23,-0.29397
batch_1,102-71-6,34.42,20.33,-3.36751
batch_1,10498-35-8,-5.74,16.32,5.27234
batch_1,105-46-4,20.18,18.1,-0.49712
batch_1,105-54-4,15.67,18.45,0.66442
batch_1,105-58-8,,,0
batch_1,106-36-5,22.19,22.07,-0.02868
,,,,
,,,,
,,,,
batch_1,106-48-9,6.91,14.32,1.77099
batch_1,106-93-4,-4.78,5.29,2.40673
batch_1,106-94-5,-5.95,5.56,2.75089
batch_1,106-95-6,-4.46,4.99,2.25855
batch_1,106-97-8,-8.88,10.59,4.65333
batch_1,106-98-9,-4.64,8.63,3.17153
batch_1,106-99-0,-4.69,4.04,2.08647
batch_1,107-03-9,-4.88,5.34,2.44258
batch_10,28466-26-4,34.7,23.97,-2.56447
batch_10,2847-30-5,19.15,21.29,0.51146
batch_10,287-92-3,-2.73,12.62,3.66865
batch_10,28810-38-0,-3.86,19.05,5.47549
batch_10,2882-20-4,7.86,19.23,2.71743
batch_10,2882-21-5,26.79,22.97,-0.91298
batch_10,302-72-7,17.36,14.48,-0.68832
batch_10,3140-93-0,1.43,14.97,3.23606
batch_10,319-81-3,-3.82,19.02,5.45876
batch_10,319-94-8,-2.79,22.83,6.12318
batch_10,3208-16-0,2.26,18,3.76186
batch_10,321-14-2,14.35,20.83,1.54872
batch_10,327-54-8,,,0
batch_10,33332-30-8,10.51,19.7,2.19641
batch_10,33332-31-9,18.11,20.07,0.46844
batch_10,33489-27-9,-5.76,23.72,7.04572
batch_10,33489-28-0,-5.8,23.79,7.07201
batch_10,3354-39-0,-1.08,16.94,4.30678
batch_10,3354-42-5,-1.03,17.36,4.39521
batch_10,33873-10-8,13.41,20.46,1.68495
batch_11,33875-95-5,-3.85,19.26,5.52329
batch_11,3400-45-1,5.5,19.54,3.35556
batch_11,3469-69-0,20.08,25.55,1.30733
batch_11,348-54-9,9.98,16.26,1.50092
batch_11,3481-20-7,,,0
batch_11,352-61-4,1.64,16.01,3.43443
batch_11,352-87-4,15.89,26.62,2.56447
batch_11,352-93-2,-4.63,7.17,2.8202
batch_11,354-33-6,8.21,14.94,1.60847
batch_11,35659-69-9,3.33,14.73,2.7246
batch_11,3599-76-6,26.31,43.03,3.99608
batch_11,360-97-4,42.73,31.95,-2.57642
batch_11,363-81-5,19.18,24.04,1.16154
batch_11,36355-38-1,50.33,32.75,-4.20162
batch_11,36635-02-6,-3.19,24.07,6.51514
batch_11,36635-03-7,-3.27,24.23,6.5725
batch_11,367-11-3,3.22,15.01,2.81781
batch_11,367-12-4,11.76,16.2,1.06116
batch_11,367-21-5,12.6,20.08,1.78772
batch_11,367-23-7,,,0
batch_12,367-25-9,13.42,19.34,1.41488
batch_12,371-40-4,,,0
batch_12,371-41-5,10.36,14.69,1.03487
batch_12,37174-09-7,12.29,23.65,2.71504
batch_12,372-18-9,7.95,18.02,2.40673
batch_12,372-19-0,15.98,19.85,0.92493
batch_12,372-20-3,17.99,20.03,0.48756
batch_12,3775-60-8,14.96,17.12,0.51624
batch_12,37813-54-0,8.55,18.92,2.47843
batch_12,38557-71-0,8.12,19.52,2.7246
batch_12,38580-89-1,9.56,22.52,3.09744
batch_12,38696-40-1,-5.44,14.73,4.82063
batch_12,3934-20-1,9.14,19.93,2.57881
batch_12,402-45-9,18.03,23.47,1.30016
batch_12,4033-40-3,31.61,28.25,-0.80304
batch_12,406-95-1,11.89,17.28,1.28821
batch_12,41992-55-6,-3.76,18.93,5.42291
batch_12,426-65-3,18.29,29.65,2.71504
batch_12,431-89-0,7.67,18.98,2.70309
batch_12,434-75-3,13.3,26.84,3.23606
batch_13,444-30-4,17.29,22.61,1.27148
batch_13,445-29-4,10.82,20.86,2.39956
batch_13,455-38-9,11.11,20.95,2.35176
batch_13,4562-27-0,32.16,21.7,-2.49994
batch_13,4597-87-9,16.56,17.05,0.11711
batch_13,462-06-6,3.48,14.65,2.66963
batch_13,463-49-0,-5.22,3.4,2.06018
batch_13,463-82-1,-5.91,9.39,3.6567
batch_13,464-07-3,9.99,15.22,1.24997
batch_13,4684-94-0,7.28,21.54,3.40814
batch_13,4774-14-5,9.38,20.33,2.61705
batch_13,4774-15-6,25.35,24.93,-0.10038
batch_13,488-93-7,12.15,21.14,2.14861
batch_13,498-62-4,7.54,15.96,2.01238
batch_13,50-69-1,48.2,27.36,-4.98076
batch_13,50-81-7,50.7,32.78,-4.28288
batch_13,50-99-7,58.48,34.01,-5.84833
batch_13,503-74-2,4.27,13.07,2.1032
batch_13,504-63-2,19.69,11.47,-1.96458
batch_13,507-19-7,-3.57,9.25,3.06398
batch_14,507-20-0,-3.59,10.25,3.30776
batch_14,507-52-8,22.36,22.49,0.03107
batch_14,50995-95-4,18.03,23.09,1.20934
batch_14,51-35-4,33.62,27.26,-1.52004
batch_14,513-35-9,-4.91,8.5,3.20499
batch_14,515-84-4,19.27,24.76,1.31211
batch_14,5162-44-7,-3.02,8.5,2.75328
batch_14,51795-30-3,-2.92,22.83,6.15425
batch_14,5194-50-3,,8.97,2.14383
batch_14,5194-51-4,,9,2.151
batch_14,52-52-8,4.79,18.88,3.36751
batch_14,527-72-0,8.42,18.82,2.4856
batch_14,533-45-9,9.28,23.48,3.3938
batch_14,533-58-4,5.63,14.9,2.21553
batch_14,534-22-5,4.61,18.12,3.22889
batch_14,535-80-8,6.92,20.7,3.29342
batch_14,5380-42-7,10.45,23.54,3.12851
batch_14,5398-44-7,7.4,24.2,4.0152
batch_14,540-38-5,3.67,13.05,2.24182
batch_14,540-54-5,-5.81,6.13,2.85366
batch_15,540-88-5,9.47,12.91,0.82216
batch_15,54083-24-8,-2.6,22.78,6.06582
batch_15,54083-25-9,-2.58,22.85,6.07777
batch_15,541-73-1,-0.05,18.14,4.34741
batch_15,54135-81-8,3.32,24.86,5.14806
batch_15,54135-82-9,2.25,23.79,5.14806
batch_15,542-69-8,-8.64,8.32,4.05344
batch_15,543-59-9,-6.74,10.6,4.14426
batch_15,544-10-5,-10.19,15.01,6.0228
batch_15,5509-65-9,14.75,20.46,1.36469
batch_15,55265-51-5,-0.14,24.95,5.99651
batch_15,554-00-7,6.19,18.72,2.99467
batch_15,554-14-3,0.37,15.53,3.62324
batch_15,55486-68-5,-4.64,16.66,5.0907
batch_15,556-24-1,4.98,16.53,2.76045
batch_15,556-50-3,28.42,19.19,-2.20597
batch_15,557-01-7,22.31,19.33,-0.71222
batch_15,558-13-4,-5.88,8.65,3.47267
batch_15,56-12-2,11.63,16.48,1.15915
batch_15,56-23-5,-3.6,9.63,3.16197
batch_16,56-41-7,17.22,14.38,-0.67876
batch_16,56-45-1,22.84,14.73,-1.93829
batch_16,56-81-5,28.16,15.37,-3.05681
batch_16,56-84-8,24.59,21.86,-0.65247
batch_16,56-85-9,22.34,24.58,0.53536
batch_16,56086-55-6,0.35,25.24,5.94871
batch_16,2/3/5621,21.08,22.23,0.27485
batch_16,5666-21-7,1.33,11.88,2.52145
batch_16,56961-77-4,-1.91,18.15,4.79434
batch_16,56994-25-3,-0.98,19.71,4.94491
batch_16,57-15-8,20.28,27.52,1.73036
batch_16,5728-21-2,-3.46,14.22,4.22552
batch_16,57383-80-9,9.36,18.94,2.28962
batch_16,57722-15-3,-2.47,25.51,6.68722
batch_16,57722-16-4,-2.4,25.3,6.6203
batch_16,57722-17-5,-2.58,25.54,6.72068
batch_16,583-78-8,,,0
batch_16,584-02-1,9.55,14.06,1.07789
batch_16,585-76-2,6.71,20.08,3.19543
batch_16,586-76-5,7.23,20.47,3.16436
batch_17,587-04-2,5.9,18.15,2.92775
batch_17,590-18-1,-4.93,8.74,3.26713
batch_17,590-36-3,14.51,20.37,1.40054
batch_17,591-19-5,11.85,19.23,1.76382
batch_17,591-20-8,13.76,19.19,1.29777
batch_17,591-35-5,10.19,20.66,2.50233
batch_17,591-50-4,-0.84,19.37,4.83019
batch_17,591-78-6,-0.21,16.76,4.05583
batch_17,591-93-5,-4.4,8.15,2.99945
batch_17,592-41-6,-7.69,10.07,4.24464
batch_17,592-45-0,-6.78,9.7,3.93872
batch_17,592-50-7,-2.66,10.3,3.09744
batch_17,592-57-4,-1.2,10.9,2.8919
batch_17,59229-56-0,-2.45,25.32,6.63703
batch_17,59303-10-5,13.32,16.65,0.79587
batch_17,594-36-5,-3.86,10.25,3.37229
batch_17,594-60-5,16.01,21.46,1.30255
batch_17,598-98-1,7.39,18.44,2.64095
batch_17,598-99-2,11.9,24.45,2.99945
batch_17,60-32-2,20.68,17.77,-0.69549
batch_18,60-35-5,14.03,3.55,-2.50472
batch_18,60067-92-7,-0.43,22.86,5.56631
batch_18,601-84-3,9.02,24.95,3.80727
batch_18,605-99-2,39.24,38.35,-0.21271
batch_18,60633-26-3,3.89,25.29,5.1146
batch_18,607-99-8,4.04,24.07,4.78717
batch_18,608-27-5,10.08,20.43,2.47365
batch_18,608-31-1,7.73,19.9,2.90863
batch_18,608-33-3,9.25,18.95,2.3183
batch_18,608-93-5,,,0
batch_18,60828-33-3,33.23,22.61,-2.53818
batch_18,609-19-8,12.22,23.85,2.77957
batch_18,609-23-4,7.13,31.04,5.71449
batch_18,61-90-5,16.24,22.45,1.48419
batch_18,6108-61-8,-7.91,8.75,3.98174
batch_18,611-13-2,13.73,25.19,2.73894
batch_18,612-37-3,34.87,34.69,-0.04302
batch_18,615-36-1,6.65,15.28,2.06257
batch_18,615-43-0,3.69,14.78,2.65051
batch_18,615-58-7,7.71,17.75,2.39956
batch_19,615-67-8,19.84,20.4,0.13384
batch_19,615-77-0,18.06,21.45,0.81021
batch_19,616-44-4,-0.28,14.99,3.64953
batch_19,61655-72-9,19.85,24.59,1.13286
batch_19,618-51-9,6.15,25.07,4.52188
batch_19,618-76-8,13.59,29.53,3.80966
batch_19,620-08-6,18.48,17.64,-0.20076
batch_19,620957-93-9,24.47,24.65,0.04302
batch_19,620957-94-0,17.96,22.23,1.02053
batch_19,62182-10-9,42.32,30.69,-2.77957
batch_19,623-37-0,10.31,17.42,1.69929
batch_19,623-42-7,5.03,16.51,2.74372
batch_19,624-24-8,2.23,21.01,4.48842
batch_19,624-64-6,-4.77,8.79,3.24084
batch_19,624-73-7,-10.51,4.23,3.52286
batch_19,624-89-5,-5.29,4.89,2.43302
batch_19,624-92-0,-2.91,4.24,1.70885
batch_19,625-80-9,-4.25,10.35,3.4894
batch_19,625-84-3,11.02,22.65,2.77957
batch_19,625-86-5,4.44,21.56,4.09168
batch_2,107-06-2,-5.99,8.63,3.49418
batch_2,107-08-4,-9.02,5.13,3.38185
batch_2,107-15-3,12.91,6.22,-1.59891
batch_2,107-21-1,15.7,8.03,-1.83313
batch_2,107-97-1,8.63,13.28,1.11135
batch_2,107103-96-8,15.04,21.67,1.58457
batch_2,107103-97-9,14.19,22.1,1.89049
batch_2,108-10-1,2.65,11.88,2.20597
batch_2,108-11-2,12.88,19.37,1.55111
batch_2,108-20-3,12.88,18.82,1.41966
batch_2,108-21-4,21.65,18.97,-0.64052
batch_2,108-36-1,-0.66,16.82,4.17772
batch_2,108-42-9,11.7,19.7,1.912
batch_2,108-43-0,13.66,19.93,1.49853
batch_2,108-70-3,-1.21,19.36,4.91623
batch_2,108-78-1,40.96,27.43,-3.23367
batch_2,108-85-0,-2.28,16.84,4.56968
batch_2,108-86-1,-1.02,14.12,3.61846
batch_2,108-89-4,7.73,15.78,1.92395
batch_2,108-90-7,-0.6,14.65,3.64475
batch_20,626-01-7,11.62,24.22,3.0114
batch_20,626-02-8,13.41,24.12,2.55969
batch_20,626-39-1,-1.84,17.7,4.67006
batch_20,626-43-7,8.52,20.61,2.88951
batch_20,626-55-1,9.05,15.77,1.60608
batch_20,626-60-8,9.14,16.62,1.78772
batch_20,626-61-9,9.11,16.64,1.79967
batch_20,626-93-7,4.69,18.15,3.21694
batch_20,627-31-6,-8.15,12.09,4.83736
batch_20,6270-63-9,32.02,21.64,-2.48082
batch_20,628-17-1,-7.45,14.95,5.3536
batch_20,628-28-4,3.61,10.8,1.71841
batch_20,628-41-1,-1.51,10.6,2.89429
batch_20,628-81-9,1.04,12.33,2.69831
batch_20,6293-55-6,18.75,24.43,1.35752
batch_20,630-20-6,-0.79,15.97,4.00564
batch_20,634-91-3,10.33,24.1,3.29103
batch_20,636-28-2,-1.56,20.36,5.23888
batch_20,636-30-6,11.03,24.43,3.2026
batch_20,637-78-5,15.1,15.4,0.0717
batch_21,637-87-6,,,0
batch_21,638-45-9,-9.7,20.11,7.12459
batch_21,643-15-2,-2.74,22.81,6.10645
batch_21,6515-38-4,10.67,24.42,3.28625
batch_21,12/3/6556,55.71,34.97,-4.95686
batch_21,65611-47-4,10.25,18.78,2.03867
batch_21,66-22-8,25.18,22.72,-0.58794
batch_21,66-25-1,-2.28,15.39,4.22313
batch_21,660-88-8,14.93,14.49,-0.10516
batch_21,6600-40-4,9.82,15.93,1.46029
batch_21,67-51-6,23.67,24.28,0.14579
batch_21,67-66-3,-3.56,9.24,3.0592
batch_21,67-68-5,18.32,7.91,-2.48799
batch_21,67-72-1,5.3,26.31,5.02139
batch_21,68-12-2,11.96,9.32,-0.63096
batch_21,68-94-0,43.14,33.14,-2.39
batch_21,69-93-2,44.31,38.84,-1.30733
batch_21,6915-15-7,27.09,22.9,-1.00141
batch_21,6936-40-9,3.62,27.15,5.62367
batch_21,695-19-2,,,0
batch_22,70-47-3,24.37,21.56,-0.67159
batch_22,71-00-1,39.7,32.82,-1.64432
batch_22,71-30-7,34.1,25,-2.1749
batch_22,71-33-0,34.64,25.39,-2.21075
batch_22,71-41-0,4.58,10.42,1.39576
batch_22,71-43-2,-1.25,10.98,2.92297
batch_22,71-55-6,-3.68,9.43,3.13329
batch_22,7113-30-6,-4.8,12.51,4.13709
batch_22,73-32-5,8.45,22.73,3.41292
batch_22,74-83-9,-4.29,0.89,1.23802
batch_22,74-84-0,-6.08,0.69,1.61803
batch_22,74-85-1,-4.34,0.16,1.0755
batch_22,74-88-4,-7.23,0.42,1.82835
batch_22,74-96-4,-3.76,3.74,1.7925
batch_22,74-98-6,-5.97,3.85,2.34698
batch_22,7411-23-6,-1.71,13.71,3.68538
batch_22,75-00-3,-3.74,4.36,1.9359
batch_22,75-03-6,-6.05,8.56,3.49179
batch_22,75-09-2,-3.69,4.27,1.90244
batch_22,75-12-7,3.77,3.7,-0.01673
batch_23,75-18-3,-2.07,3.28,1.27865
batch_23,75-26-3,-6.15,3.36,2.27289
batch_23,75-28-5,-6.18,3.84,2.39478
batch_23,75-29-6,-3.85,4.21,1.92634
batch_23,75-30-9,-5.74,8.55,3.41531
batch_23,75-34-3,-3.84,4.31,1.94785
batch_23,75-63-8,-3.4,10.39,3.29581
batch_23,75-69-4,-3.61,9.46,3.12373
batch_23,75-71-8,-3.6,9.41,3.10939
batch_23,75-72-9,-3.57,10.3,3.31493
batch_23,75-73-0,-3.59,10.29,3.31732
batch_23,75-83-2,-6.22,9.91,3.85507
batch_23,75-84-3,5.65,10.29,1.10896
batch_23,75-87-6,7.53,16.86,2.22987
batch_23,75-97-8,5.41,14.17,2.09364
batch_23,75-98-9,5.64,14.41,2.09603
batch_23,75-99-0,7.67,14.8,1.70407
batch_23,7541-59-5,37.09,20.96,-3.85507
batch_23,76-01-7,2.22,20.51,4.37131
batch_23,76-03-9,9.79,20.64,2.59315
batch_24,76-16-4,8.39,15.06,1.59413
batch_24,760-78-1,9.97,16.12,1.46985
batch_24,7606-79-3,28.2,19.11,-2.17251
batch_24,7682-38-4,-0.13,19.23,4.62704
batch_24,77-92-9,40.68,31.12,-2.28484
batch_24,771-61-9,24.87,29.24,1.04443
batch_24,77580-78-0,-0.76,21.63,5.35121
batch_24,79-16-3,13.69,8.03,-1.35274
batch_24,79-29-8,-4.34,14.31,4.45735
batch_24,79-34-5,-0.08,14.95,3.59217
batch_24,80-58-0,1.69,12.1,2.48799
batch_24,80-60-4,15.05,18.59,0.84606
batch_24,819-06-7,8.79,12.26,0.82933
batch_24,822-86-6,-5.75,16.27,5.26278
batch_24,823-09-6,18.83,18.68,-0.03585
batch_24,83293-50-9,27.2,21.06,-1.46746
batch_24,84652-30-2,30.82,27.81,-0.71939
batch_24,87-40-1,3.55,25.06,5.14089
batch_24,87-61-6,-1.76,18.95,4.94969
batch_24,87-65-0,9.5,20.29,2.57881
batch_25,87-68-3,2.55,27.11,5.86984
batch_25,87-69-4,37.3,26.46,-2.59076
,,,,
batch_25,872-31-1,0.61,14.95,3.42726
batch_25,872-55-9,-1.69,15.41,4.0869
batch_25,88-09-5,3.53,18.5,3.57783
batch_25,88-13-1,8.82,18.96,2.42346
batch_25,88-15-3,8.63,19,2.47843
batch_25,88-65-3,6.6,20.11,3.22889
batch_25,88-67-5,6.29,24.91,4.45018
batch_25,88095-60-7,32.06,27.69,-1.04443
batch_25,88511-48-2,26.19,22.68,-0.83889
batch_25,89674-85-1,-1.79,21.74,5.62367
batch_25,89674-87-3,-1.7,21.86,5.63084
batch_25,89674-88-4,-1.45,21.85,5.5687
batch_25,921-60-8,57.68,39.67,-4.30439
batch_25,927-62-8,-5.64,16.3,5.24366
batch_25,927-68-4,14.49,14.96,0.11233
batch_25,94-99-5,-1.18,21.04,5.31058
batch_25,95-25-0,15.12,30.83,3.75469
batch_26,95-50-1,-3.46,14.3,4.24464
batch_26,95-51-2,6.65,15.83,2.19402
batch_26,95-56-7,8.47,15.34,1.64193
batch_26,95-76-1,9.42,20.06,2.54296
batch_26,95-77-2,11.52,19.89,2.00043
batch_26,95-82-9,7.09,19.47,2.95882
batch_26,95-83-0,17.03,21.19,0.99424
batch_26,95-85-2,19.02,21.36,0.55926
batch_26,95-89-6,4.66,19.19,3.47267
batch_26,95-94-3,-0.75,23.06,5.69059
batch_26,95853-68-2,4.03,18.64,3.49179
batch_26,96-14-0,-8.34,15.46,5.6882
batch_26,96-37-7,-1.51,15.65,4.10124
batch_26,96-43-5,1.74,16.17,3.44877
batch_26,96-47-9,8.23,17.15,2.13188
batch_26,96-54-8,1.29,11.48,2.43541
batch_26,97-61-0,1.99,17.04,3.59695
batch_26,97-62-1,5.44,19.84,3.4416
batch_26,97-63-2,4.36,17.98,3.25518
batch_26,97-69-8,24.42,21.34,-0.73612
batch_27,97-95-0,-5.29,12.43,4.23508
batch_27,98-03-3,7.76,15.81,1.92395
batch_3,108-91-8,8.41,17.15,2.08886
batch_3,108-93-0,10.6,17.18,1.57262
batch_3,108-95-2,13.84,16.46,0.62618
batch_3,108-98-5,1.04,13.74,3.0353
batch_3,108-99-6,8.19,16,1.86659
batch_3,109-04-6,8.84,15.81,1.66583
batch_3,109-06-8,8.14,16.23,1.93351
batch_3,109-09-1,9.06,16.78,1.84508
batch_3,109-49-9,3.65,15.29,2.78196
batch_3,109-52-4,2.01,18.61,3.9674
batch_3,109-64-8,-4.72,7.48,2.9158
batch_3,109-65-9,-5.89,8.69,3.48462
batch_3,109-66-0,-7.84,8.27,3.85029
batch_3,109-67-1,-6.05,8.91,3.57544
batch_3,109-69-3,-7,8.35,3.66865
batch_3,109-70-6,-4.57,8,3.00423
batch_3,109-76-2,13.59,8.26,-1.27387
batch_3,109-79-5,-4.44,8.65,3.12851
batch_3,109-92-2,7.61,8.13,0.12428
batch_3,109803-52-3,1.1,21.55,4.88755
batch_4,110-00-9,4.62,14.68,2.40434
batch_4,110-02-1,0.73,12.14,2.72699
batch_4,110-19-0,18.65,16.98,-0.39913
batch_4,110-44-1,6.85,13.95,1.6969
batch_4,110-53-2,-6.71,9.87,3.96262
batch_4,110-54-3,-9.6,9.78,4.63182
batch_4,110-56-5,-3.25,11.72,3.57783
batch_4,110-58-7,2.04,9.61,1.80923
batch_4,110-68-9,-5.36,9.31,3.50613
batch_4,110-82-7,-0.24,16.89,4.09407
batch_4,110-83-8,-4.56,12.27,4.02237
batch_4,110-85-0,-0.51,16.67,4.10602
batch_4,111-25-1,-10.31,14.27,5.87462
batch_4,111-26-2,-0.47,15.41,3.79532
batch_4,111-27-3,2.94,16.67,3.28147
batch_4,111-42-2,25.8,14.47,-2.70787
batch_4,111-43-3,7.13,15.18,1.92395
batch_4,111-44-4,4.78,13.68,2.1271
batch_4,111-47-7,-8.76,10.67,4.64377
batch_4,1118-68-9,13.36,12.65,-0.16969
batch_5,1120-87-2,8.94,15.91,1.66583
batch_5,1120-90-7,8.48,21.28,3.0592
batch_5,112704-79-7,12.93,25.79,3.07354
batch_5,114525-06-3,15.33,17.21,0.44932
batch_5,115-07-1,-5.38,3.36,2.08886
batch_5,115-11-7,-5.37,3.39,2.09364
batch_5,115571-04-5,32.12,35.99,0.92493
batch_5,116-53-0,5.15,21.42,3.88853
,,,,
batch_5,118-79-6,8.32,20.94,3.01618
batch_5,118-91-2,6.78,20.82,3.35556
batch_5,1193-02-8,5.87,13.52,1.82835
batch_5,1193-62-0,20.76,26.94,1.47702
batch_5,120-83-2,8.09,19.09,2.629
batch_5,121-44-8,4.22,14.37,2.42585
batch_5,121-50-6,10.74,22.47,2.80347
batch_5,122970-63-2,13.18,17.43,1.01575
batch_5,123-51-3,6.89,12.46,1.33123
batch_5,123-86-4,4.7,16.59,2.84171
batch_5,124-02-7,3.52,12.43,2.12949
batch_6,127-18-4,-3.05,12.02,3.60173
batch_6,13053-81-1,16.84,17.84,0.239
batch_6,13129-23-2,13.83,25.74,2.84649
batch_6,13577-71-4,34.19,37.13,0.70266
batch_6,137-07-5,7.48,15.1,1.82118
batch_6,13797-63-2,34.59,34.34,-0.05975
batch_6,140-88-5,16.45,14.35,-0.5019
batch_6,14085-33-7,-0.92,18.06,4.53622
batch_6,141-43-5,15.13,6.96,-1.95263
batch_6,142-28-9,-4.46,8.52,3.10222
batch_6,142-62-1,4.87,16.84,2.86083
batch_6,142-84-7,2.28,16.11,3.30537
batch_6,1435-48-9,-0.22,17.79,4.30439
batch_6,1436-34-6,0.03,17.87,4.26376
batch_6,1455-77-2,21.61,18.43,-0.76002
,,,,
batch_6,147-81-9,49.69,28.22,-5.13133
batch_6,14884-03-8,35.46,29.62,-1.39576
batch_6,14946-02-2,29.43,35.03,1.3384
batch_6,1513-65-1,8.35,18.45,2.4139
batch_7,15231-48-8,20.77,21.83,0.25334
batch_7,1529-68-6,-6.78,11.99,4.48603
batch_7,1551-06-0,9.14,18.8,2.30874
batch_7,156-59-2,-4.21,6.43,2.54296
batch_7,156-60-5,-4.17,6.46,2.54057
batch_7,156-87-6,8.57,8.45,-0.02868
batch_7,1574-41-0,-6.23,6.61,3.06876
batch_7,15950-66-0,8.09,20.84,3.04725
batch_7,15962-47-7,24.4,21.4,-0.717
batch_7,1603-41-4,13.65,16.43,0.66442
batch_7,16063-69-7,8.45,21.58,3.13807
batch_7,16063-70-0,6.89,20.11,3.15958
batch_7,16088-73-6,32.45,35.02,0.61423
batch_7,16110-09-1,4.6,14.77,2.43063
batch_7,16269-66-2,11.73,25.03,3.1787
batch_7,1628-89-3,10.47,16.59,1.46268
batch_7,164584-60-5,3.25,16.43,3.15002
batch_7,16839-97-7,3.04,16.02,3.10222
batch_7,1717-00-6,-3.51,9.46,3.09983
batch_7,17249-80-8,1.12,15.65,3.47267
batch_8,1746-25-4,0.34,21.96,5.16718
batch_8,174913-20-3,2.08,23.55,5.13133
batch_8,174913-24-7,2.22,25.83,5.64279
batch_8,174913-31-6,3.43,26.7,5.56153
batch_8,174913-44-1,3.83,24.48,4.93535
batch_8,174913-68-9,3.04,27.71,5.89613
batch_8,174913-78-1,2.94,25.68,5.43486
batch_8,17647-69-7,-1.42,18.36,4.72742
batch_8,1782-00-9,-3.91,19.04,5.48505
batch_8,1795-01-3,-1.74,15.54,4.12992
batch_8,1825-21-4,3.39,29.63,6.27136
batch_8,1825-26-9,2.3,26.75,5.84355
batch_8,18438-38-5,8.83,15.97,1.70646
batch_8,19393-92-1,-2.12,18.3,4.88038
batch_8,2004-70-8,-6.49,6.5,3.10461
batch_8,2034-22-2,-1.07,17.02,4.32351
batch_8,2/7/2106,11.13,19.48,1.99565
batch_8,21227-47-4,19.8,32.72,3.08788
batch_8,2144-41-4,7.2,16.16,2.14144
batch_8,2176-62-7,-1.92,23.84,6.15664
batch_9,21948-70-9,18.97,18.44,-0.12667
batch_9,22037-28-1,4.37,17.11,3.04486
batch_9,5/5/2268,1.27,19.33,4.31634
batch_9,22715-68-0,35.11,24.84,-2.45453
batch_9,22913-26-4,10.19,23.04,3.07115
batch_9,23261-20-3,37.08,28.94,-1.94546
batch_9,23361-38-8,28.06,20.4,-1.83074
batch_9,2366-52-1,-5.13,9.81,3.57066
batch_9,2390-94-5,7.03,16.02,2.14861
batch_9,2402-78-0,-0.05,18.12,4.34263
batch_9,24108-33-6,8.26,16.5,1.96936
batch_9,2457-47-8,9.16,19.92,2.57164
batch_9,2527-99-3,14.32,28.54,3.39858
batch_9,2539-17-5,14.29,30.3,3.82639
,,,,
batch_9,271-58-9,4.41,21.57,4.10124
batch_9,271-95-4,15.8,24.92,2.17968
batch_9,273-53-0,15.61,24.79,2.19402
batch_9,2763-96-4,19.37,22.27,0.6931
batch_9,28177-48-2,16.96,20.91,0.94405
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
batch_9,25414-22-6,,,0
batch_6,1468-83-3,,,0
batch_5,117856-61-8,,,0
batch_25,87-82-1,,,0
batch_1,106-37-6,,,0
batch_1,106-46-7,,,0
batch_1,106-47-8,,,0
